product_id,brand,technology,resolution,support_HDR,screensize,week_id,sales,RRP,discount,marketing_expense,cost_shifter,,
35,Philips,OLED,1080p,1,40-49,1,1019,1449,0.27,1229.011653,621.5543933,,
36,Philips,QLED,4k,0,40-49,1,812,1049,0.11,1229.011653,716.9313054,,
37,Philips,LCD,1080p,0,40-49,1,964,1499,0.21,1229.011653,678.6718004,,
38,Philips,OLED,1080p,0,50-59,1,930,949,0.13,1229.011653,588.2168273,,
39,Philips,LCD,1080p,1,60+,1,1010,1099,0.14,1229.011653,545.1097481,,
40,Philips,LCD,4k,1,50-59,1,809,799,0.19,1229.011653,595.9799512,,
1,Samsung,OLED,1080p,0,50-59,2,1391,799,0.19,4599.813635,606.0666676,,
2,Samsung,OLED,4k,1,30-39,2,1727,1299,0.15,4599.813635,583.0135917,,
3,Samsung,OLED,4k,0,30-39,2,1463,899,0.1,4599.813635,588.6230406,,
4,Samsung,QLED,1080p,1,60+,2,1681,1449,0.22,4599.813635,656.2521121,,
5,Samsung,OLED,4k,1,50-59,2,1662,1049,0.14,4599.813635,564.1783892,,
6,Samsung,QLED,4k,0,40-49,2,1569,1099,0.09,4599.813635,615.8482366,,
7,Samsung,QLED,4k,1,40-49,2,1791,1499,0.17,4599.813635,629.9598323,,
8,Samsung,QLED,4k,1,40-49,2,1345,949,0.15,4599.813635,672.6566575,,
9,Samsung,OLED,1080p,0,60+,2,1599,699,0.13,4599.813635,441.1095374,,
10,Samsung,LCD,1080p,0,40-49,2,1506,1249,0.32,4599.813635,579.0104672,,
11,LG,QLED,4k,1,40-49,2,1067,899,0.2,1618.824343,466.5767285,,
12,LG,QLED,1080p,0,40-49,2,1187,1199,0.2,1618.824343,603.0725933,,
13,LG,LCD,4k,0,50-59,2,1322,1699,0.27,1618.824343,637.5213566,,
14,LG,QLED,4k,0,60+,2,972,949,0.2,1618.824343,589.0680213,,
15,LG,OLED,1080p,1,60+,2,1367,1449,0.15,1618.824343,583.2615994,,
16,LG,LCD,1080p,1,40-49,2,1052,1349,0.28,1618.824343,645.4493695,,
17,LG,OLED,4k,0,30-39,2,1145,1249,0.18,1618.824343,568.5129254,,
18,LG,OLED,4k,1,40-49,2,951,1149,0.21,1618.824343,696.411954,,
19,LG,LCD,1080p,1,40-49,2,966,1049,0.11,1618.824343,666.7222961,,
20,LG,LCD,4k,0,40-49,2,1143,1149,0.07,1618.824343,630.465839,,
21,Sony,LCD,4k,0,50-59,2,953,799,0.22,1606.05415,610.6451575,,
22,Sony,LCD,4k,0,60+,2,1126,1099,0.09,1606.05415,681.7303552,,
23,Sony,OLED,4k,1,40-49,2,1063,1249,0.29,1606.05415,618.0013452,,
24,Sony,QLED,1080p,1,50-59,2,1235,999,0.11,1606.05415,603.5948906,,
25,Sony,OLED,4k,1,40-49,2,1319,1549,0.2,1606.05415,635.6621984,,
26,Sony,QLED,4k,1,50-59,2,1127,1049,0.22,1606.05415,620.158711,,
27,Sony,LCD,4k,0,60+,2,1544,1499,0.23,1606.05415,546.1614124,,
28,Sony,QLED,4k,0,30-39,2,1278,1249,0.12,1606.05415,668.4726402,,
29,Sony,OLED,1080p,1,50-59,2,1395,1199,0.08,1606.05415,667.1018943,,
30,Sony,QLED,1080p,1,50-59,2,1401,1399,0.14,1606.05415,654.0782327,,
31,Philips,LCD,4k,1,50-59,2,850,1149,0.26,1022.048372,609.1371526,,
32,Philips,OLED,1080p,0,30-39,2,809,899,0.08,1022.048372,637.5609014,,
33,Philips,OLED,1080p,1,50-59,2,914,1149,0.27,1022.048372,592.4769062,,
34,Philips,LCD,1080p,0,50-59,2,1029,1349,0.26,1022.048372,575.7228739,,
35,Philips,OLED,1080p,1,40-49,2,818,949,0.1,1022.048372,626.4214516,,
36,Philips,QLED,4k,0,40-49,2,801,799,0.15,1022.048372,551.3622499,,
37,Philips,LCD,1080p,0,40-49,2,1129,1599,0.12,1022.048372,714.3656821,,
38,Philips,OLED,1080p,0,50-59,2,844,849,0.06,1022.048372,626.5656032,,
39,Philips,LCD,1080p,1,60+,2,915,1149,0.14,1022.048372,621.0627089,,
40,Philips,LCD,4k,1,50-59,2,991,1399,0.32,1022.048372,650.7913528,,
1,Samsung,OLED,1080p,0,50-59,3,1371,649,0.09,3893.034734,504.2741677,,
2,Samsung,OLED,4k,1,30-39,3,1494,1099,0.12,3893.034734,578.155657,,
3,Samsung,OLED,4k,0,30-39,3,1551,1399,0.23,3893.034734,614.8781429,,
4,Samsung,QLED,1080p,1,60+,3,1501,1049,0.11,3893.034734,608.6122323,,
5,Samsung,OLED,4k,1,50-59,3,1427,1099,0.28,3893.034734,600.16181,,
6,Samsung,QLED,4k,0,40-49,3,1395,949,0.14,3893.034734,569.0580838,,
7,Samsung,QLED,4k,1,40-49,3,1251,849,0.19,3893.034734,642.5222606,,
8,Samsung,QLED,4k,1,40-49,3,1481,1049,0.12,3893.034734,565.224821,,
9,Samsung,OLED,1080p,0,60+,3,1489,1199,0.3,3893.034734,584.9195597,,
10,Samsung,LCD,1080p,0,40-49,3,1409,1349,0.27,3893.034734,601.2835463,,
11,LG,QLED,4k,1,40-49,3,1224,999,0.25,3346.329628,494.0216737,,
12,LG,QLED,1080p,0,40-49,3,1340,1499,0.25,3346.329628,635.8908654,,
13,LG,LCD,4k,0,50-59,3,1333,1299,0.29,3346.329628,582.3628268,,
14,LG,QLED,4k,0,60+,3,1555,1849,0.28,3346.329628,594.5809363,,
15,LG,OLED,1080p,1,60+,3,1360,999,0.11,3346.329628,539.607168,,
16,LG,LCD,1080p,1,40-49,3,1326,1299,0.31,3346.329628,578.4030007,,
17,LG,OLED,4k,0,30-39,3,1149,699,0.08,3346.329628,499.2092015,,
18,LG,OLED,4k,1,40-49,3,1357,1149,0.15,3346.329628,628.933485,,
19,LG,LCD,1080p,1,40-49,3,1138,799,0.13,3346.329628,538.0460584,,
20,LG,LCD,4k,0,40-49,3,1254,1199,0.17,3346.329628,578.6308673,,
21,Sony,LCD,4k,0,50-59,3,1258,1249,0.31,3612.423791,666.0758472,,
22,Sony,LCD,4k,0,60+,3,1461,1249,0.2,3612.423791,623.6137536,,
23,Sony,OLED,4k,1,40-49,3,1359,1049,0.26,3612.423791,525.3326177,,
24,Sony,QLED,1080p,1,50-59,3,1112,849,0.19,3612.423791,600.5158994,,
25,Sony,OLED,4k,1,40-49,3,1449,1299,0.11,3612.423791,653.7523851,,
26,Sony,QLED,4k,1,50-59,3,1439,1349,0.24,3612.423791,600.2510197,,
27,Sony,LCD,4k,0,60+,3,1302,949,0.27,3612.423791,556.3820017,,
28,Sony,QLED,4k,0,30-39,3,1243,999,0.07,3612.423791,642.54606,,
29,Sony,OLED,1080p,1,50-59,3,1420,1049,0.28,3612.423791,578.0192452,,
30,Sony,QLED,1080p,1,50-59,3,1419,899,0.16,3612.423791,543.4991441,,
31,Philips,LCD,4k,1,50-59,3,1534,1049,0.15,4531.995853,524.6787711,,
32,Philips,OLED,1080p,0,30-39,3,1320,1399,0.18,4531.995853,659.0853414,,
33,Philips,OLED,1080p,1,50-59,3,1400,1199,0.09,4531.995853,623.3662497,,
34,Philips,LCD,1080p,0,50-59,3,1404,1399,0.28,4531.995853,579.2223473,,
35,Philips,OLED,1080p,1,40-49,3,1233,1199,0.3,4531.995853,549.0218107,,
36,Philips,QLED,4k,0,40-49,3,870,599,0.27,4531.995853,632.4009031,,
37,Philips,LCD,1080p,0,40-49,3,1265,1149,0.1,4531.995853,634.4790431,,
38,Philips,OLED,1080p,0,50-59,3,1411,1399,0.25,4531.995853,611.6161079,,
39,Philips,LCD,1080p,1,60+,3,1283,1299,0.2,4531.995853,639.4370863,,
40,Philips,LCD,4k,1,50-59,3,1298,799,0.13,4531.995853,557.0821998,,
1,Samsung,OLED,1080p,0,50-59,4,1613,1099,0.18,2020.200183,525.4449693,,
2,Samsung,OLED,4k,1,30-39,4,1316,1199,0.1,2020.200183,606.8528707,,
3,Samsung,OLED,4k,0,30-39,4,1097,749,0.13,2020.200183,575.345659,,
4,Samsung,QLED,1080p,1,60+,4,1227,1449,0.25,2020.200183,663.104976,,
5,Samsung,OLED,4k,1,50-59,4,1742,1349,0.14,2020.200183,502.7484645,,
6,Samsung,QLED,4k,0,40-49,4,1054,949,0.26,2020.200183,642.9363285,,
7,Samsung,QLED,4k,1,40-49,4,1415,1299,0.24,2020.200183,569.866062,,
8,Samsung,QLED,4k,1,40-49,4,1270,1099,0.24,2020.200183,562.8696499,,
9,Samsung,OLED,1080p,0,60+,4,1075,999,0.27,2020.200183,613.5309365,,
10,Samsung,LCD,1080p,0,40-49,4,1173,899,0.29,2020.200183,488.6757179,,
11,LG,QLED,4k,1,40-49,4,1154,949,0.07,1873.943983,597.4574925,,
12,LG,QLED,1080p,0,40-49,4,1084,1049,0.18,1873.943983,593.2462244,,
13,LG,LCD,4k,0,50-59,4,921,999,0.31,1873.943983,580.2473636,,
14,LG,QLED,4k,0,60+,4,1079,999,0.11,1873.943983,608.9547316,,
15,LG,OLED,1080p,1,60+,4,941,949,0.19,1873.943983,600.4055786,,
16,LG,LCD,1080p,1,40-49,4,1288,1449,0.31,1873.943983,581.3004367,,
17,LG,OLED,4k,0,30-39,4,1263,1099,0.13,1873.943983,522.9338186,,
18,LG,OLED,4k,1,40-49,4,875,1249,0.19,1873.943983,722.0582845,,
19,LG,LCD,1080p,1,40-49,4,955,799,0.23,1873.943983,573.3627296,,
20,LG,LCD,4k,0,40-49,4,1148,1099,0.11,1873.943983,598.4148708,,
21,Sony,LCD,4k,0,50-59,4,1072,849,0.24,2571.155975,603.3975085,,
22,Sony,LCD,4k,0,60+,4,1220,999,0.26,2571.155975,519.2464221,,
23,Sony,OLED,4k,1,40-49,4,1338,1199,0.27,2571.155975,503.2514124,,
24,Sony,QLED,1080p,1,50-59,4,1465,1449,0.19,2571.155975,693.5968133,,
25,Sony,OLED,4k,1,40-49,4,1226,1249,0.11,2571.155975,677.6867291,,
26,Sony,QLED,4k,1,50-59,4,1551,1199,0.14,2571.155975,578.6995301,,
27,Sony,LCD,4k,0,60+,4,1242,1199,0.2,2571.155975,706.0152292,,
28,Sony,QLED,4k,0,30-39,4,1190,899,0.16,2571.155975,624.7897695,,
29,Sony,OLED,1080p,1,50-59,4,1304,1149,0.22,2571.155975,642.9793629,,
30,Sony,QLED,1080p,1,50-59,4,1572,1399,0.16,2571.155975,591.0701668,,
31,Philips,LCD,4k,1,50-59,4,1326,1399,0.24,2222.189081,590.6337615,,
32,Philips,OLED,1080p,0,30-39,4,985,1399,0.32,2222.189081,652.4305098,,
33,Philips,OLED,1080p,1,50-59,4,1030,849,0.08,2222.189081,591.3957515,,
34,Philips,LCD,1080p,0,50-59,4,1176,1299,0.23,2222.189081,518.3385473,,
35,Philips,OLED,1080p,1,40-49,4,1083,1049,0.13,2222.189081,552.7427632,,
36,Philips,QLED,4k,0,40-49,4,935,1299,0.21,2222.189081,671.3404293,,
37,Philips,LCD,1080p,0,40-49,4,848,799,0.33,2222.189081,540.078,,
38,Philips,OLED,1080p,0,50-59,4,1330,1299,0.1,2222.189081,644.286717,,
39,Philips,LCD,1080p,1,60+,4,954,899,0.12,2222.189081,607.10575,,
40,Philips,LCD,4k,1,50-59,4,1092,1249,0.15,2222.189081,672.2106559,,
1,Samsung,OLED,1080p,0,50-59,5,1462,1299,0.2,2234.686662,584.7411719,,
2,Samsung,OLED,4k,1,30-39,5,1503,1199,0.13,2234.686662,544.1141567,,
3,Samsung,OLED,4k,0,30-39,5,1380,1349,0.21,2234.686662,570.2445913,,
4,Samsung,QLED,1080p,1,60+,5,1460,849,0.13,2234.686662,469.4434594,,
5,Samsung,OLED,4k,1,50-59,5,1464,1399,0.3,2234.686662,555.9835512,,
6,Samsung,QLED,4k,0,40-49,5,1037,899,0.3,2234.686662,612.9360009,,
7,Samsung,QLED,4k,1,40-49,5,1330,1099,0.17,2234.686662,608.2310107,,
8,Samsung,QLED,4k,1,40-49,5,1410,1249,0.14,2234.686662,624.4846772,,
9,Samsung,OLED,1080p,0,60+,5,1203,999,0.22,2234.686662,530.6305607,,
10,Samsung,LCD,1080p,0,40-49,5,1211,949,0.15,2234.686662,618.2860967,,
11,LG,QLED,4k,1,40-49,5,1108,1299,0.22,1177.566601,627.8895501,,
12,LG,QLED,1080p,0,40-49,5,1057,1349,0.3,1177.566601,596.2133851,,
13,LG,LCD,4k,0,50-59,5,888,649,0.1,1177.566601,506.5023645,,
14,LG,QLED,4k,0,60+,5,855,1199,0.31,1177.566601,651.4007065,,
15,LG,OLED,1080p,1,60+,5,1247,1299,0.17,1177.566601,587.9143604,,
16,LG,LCD,1080p,1,40-49,5,924,1049,0.16,1177.566601,614.7543638,,
17,LG,OLED,4k,0,30-39,5,750,699,0.12,1177.566601,580.1806102,,
18,LG,OLED,4k,1,40-49,5,1110,1099,0.14,1177.566601,570.8080175,,
19,LG,LCD,1080p,1,40-49,5,999,1149,0.27,1177.566601,580.4377155,,
20,LG,LCD,4k,0,40-49,5,1073,1499,0.25,1177.566601,667.43913,,
21,Sony,LCD,4k,0,50-59,5,1367,1199,0.08,1735.094914,630.4728269,,
22,Sony,LCD,4k,0,60+,5,1108,999,0.11,1735.094914,619.4296458,,
23,Sony,OLED,4k,1,40-49,5,932,749,0.11,1735.094914,546.7170956,,
24,Sony,QLED,1080p,1,50-59,5,1659,1649,0.29,1735.094914,524.352215,,
25,Sony,OLED,4k,1,40-49,5,1251,1499,0.29,1735.094914,633.055508,,
26,Sony,QLED,4k,1,50-59,5,1433,1099,0.07,1735.094914,594.5118689,,
27,Sony,LCD,4k,0,60+,5,1009,749,0.08,1735.094914,626.0415314,,
28,Sony,QLED,4k,0,30-39,5,1259,1249,0.12,1735.094914,611.4910193,,
29,Sony,OLED,1080p,1,50-59,5,1441,949,0.19,1735.094914,525.0355874,,
30,Sony,QLED,1080p,1,50-59,5,1182,949,0.08,1735.094914,618.4791395,,
31,Philips,LCD,4k,1,50-59,5,1611,1099,0.08,4849.908305,547.9560365,,
32,Philips,OLED,1080p,0,30-39,5,1176,949,0.12,4849.908305,590.8536373,,
33,Philips,OLED,1080p,1,50-59,5,1584,1299,0.3,4849.908305,476.1812613,,
34,Philips,LCD,1080p,0,50-59,5,1299,1299,0.14,4849.908305,683.9796212,,
35,Philips,OLED,1080p,1,40-49,5,1107,1099,0.24,4849.908305,614.2850173,,
36,Philips,QLED,4k,0,40-49,5,1449,1149,0.16,4849.908305,551.1975684,,
37,Philips,LCD,1080p,0,40-49,5,1285,1149,0.2,4849.908305,622.3602623,,
38,Philips,OLED,1080p,0,50-59,5,1475,1149,0.11,4849.908305,578.0132865,,
39,Philips,LCD,1080p,1,60+,5,1235,1149,0.14,4849.908305,687.9254622,,
40,Philips,LCD,4k,1,50-59,5,1354,1249,0.12,4849.908305,708.237566,,
1,Samsung,OLED,1080p,0,50-59,6,1356,999,0.19,3987.349453,686.9805506,,
2,Samsung,OLED,4k,1,30-39,6,1478,1099,0.16,3987.349453,563.2519876,,
3,Samsung,OLED,4k,0,30-39,6,1553,1449,0.23,3987.349453,600.1121477,,
4,Samsung,QLED,1080p,1,60+,6,1575,1149,0.06,3987.349453,708.8357046,,
5,Samsung,OLED,4k,1,50-59,6,1774,1299,0.17,3987.349453,592.2796252,,
6,Samsung,QLED,4k,0,40-49,6,1377,899,0.3,3987.349453,568.9020552,,
7,Samsung,QLED,4k,1,40-49,6,1407,1049,0.11,3987.349453,653.9442221,,
8,Samsung,QLED,4k,1,40-49,6,1539,1549,0.3,3987.349453,627.9809787,,
9,Samsung,OLED,1080p,0,60+,6,1627,1149,0.12,3987.349453,605.5729466,,
10,Samsung,LCD,1080p,0,40-49,6,1317,699,0.07,3987.349453,561.549583,,
11,LG,QLED,4k,1,40-49,6,1155,1149,0.27,4658.040243,661.444964,,
12,LG,QLED,1080p,0,40-49,6,1360,949,0.26,4658.040243,528.4073774,,
13,LG,LCD,4k,0,50-59,6,1417,1049,0.07,4658.040243,654.1610496,,
14,LG,QLED,4k,0,60+,6,1311,849,0.09,4658.040243,547.2186603,,
15,LG,OLED,1080p,1,60+,6,1332,1399,0.26,4658.040243,665.3740432,,
16,LG,LCD,1080p,1,40-49,6,1244,999,0.13,4658.040243,669.2591253,,
17,LG,OLED,4k,0,30-39,6,1235,999,0.11,4658.040243,596.0344813,,
18,LG,OLED,4k,1,40-49,6,1381,1449,0.24,4658.040243,690.9944925,,
19,LG,LCD,1080p,1,40-49,6,1526,1399,0.24,4658.040243,564.1551541,,
20,LG,LCD,4k,0,40-49,6,1407,1349,0.18,4658.040243,742.9825647,,
21,Sony,LCD,4k,0,50-59,6,1208,849,0.18,1513.611826,521.4246955,,
22,Sony,LCD,4k,0,60+,6,971,1099,0.22,1513.611826,634.3351896,,
23,Sony,OLED,4k,1,40-49,6,1135,1299,0.27,1513.611826,587.3824189,,
24,Sony,QLED,1080p,1,50-59,6,1071,999,0.18,1513.611826,655.6723758,,
25,Sony,OLED,4k,1,40-49,6,1182,1049,0.13,1513.611826,573.9090331,,
26,Sony,QLED,4k,1,50-59,6,1081,999,0.23,1513.611826,641.7364282,,
27,Sony,LCD,4k,0,60+,6,1110,999,0.12,1513.611826,616.0465942,,
28,Sony,QLED,4k,0,30-39,6,997,1199,0.27,1513.611826,638.8781629,,
29,Sony,OLED,1080p,1,50-59,6,1354,1249,0.12,1513.611826,610.6912923,,
30,Sony,QLED,1080p,1,50-59,6,1313,1149,0.12,1513.611826,644.6636027,,
31,Philips,LCD,4k,1,50-59,6,1296,899,0.15,3703.171453,513.0435025,,
32,Philips,OLED,1080p,0,30-39,6,1127,1249,0.22,3703.171453,665.9019699,,
33,Philips,OLED,1080p,1,50-59,6,1319,1099,0.24,3703.171453,520.9694785,,
34,Philips,LCD,1080p,0,50-59,6,1276,1249,0.22,3703.171453,580.2400449,,
35,Philips,OLED,1080p,1,40-49,6,1173,999,0.13,3703.171453,588.0337041,,
36,Philips,QLED,4k,0,40-49,6,974,699,0.25,3703.171453,607.8963289,,
37,Philips,LCD,1080p,0,40-49,6,1019,999,0.24,3703.171453,614.141566,,
38,Philips,OLED,1080p,0,50-59,6,1326,1199,0.15,3703.171453,605.8000185,,
39,Philips,LCD,1080p,1,60+,6,1368,1349,0.19,3703.171453,605.5372782,,
40,Philips,LCD,4k,1,50-59,6,1389,1449,0.28,3703.171453,612.0535003,,
1,Samsung,OLED,1080p,0,50-59,7,1433,1149,0.26,1820.984849,506.0023822,,
2,Samsung,OLED,4k,1,30-39,7,985,799,0.17,1820.984849,629.3480728,,
3,Samsung,OLED,4k,0,30-39,7,1401,1149,0.15,1820.984849,492.5370327,,
4,Samsung,QLED,1080p,1,60+,7,1531,1549,0.23,1820.984849,653.6018581,,
5,Samsung,OLED,4k,1,50-59,7,1456,1049,0.21,1820.984849,575.143507,,
6,Samsung,QLED,4k,0,40-49,7,1550,1549,0.2,1820.984849,592.0326505,,
7,Samsung,QLED,4k,1,40-49,7,899,599,0.23,1820.984849,617.3193473,,
8,Samsung,QLED,4k,1,40-49,7,1090,1049,0.26,1820.984849,628.9919825,,
9,Samsung,OLED,1080p,0,60+,7,1331,949,0.1,1820.984849,513.9326565,,
10,Samsung,LCD,1080p,0,40-49,7,1288,999,0.18,1820.984849,532.1139437,,
11,LG,QLED,4k,1,40-49,7,1175,849,0.22,4480.573627,595.6029277,,
12,LG,QLED,1080p,0,40-49,7,1475,1499,0.15,4480.573627,677.9706694,,
13,LG,LCD,4k,0,50-59,7,1258,1099,0.28,4480.573627,576.5074317,,
14,LG,QLED,4k,0,60+,7,1156,1049,0.26,4480.573627,665.2787937,,
15,LG,OLED,1080p,1,60+,7,1331,1099,0.19,4480.573627,577.5091134,,
16,LG,LCD,1080p,1,40-49,7,1429,1499,0.25,4480.573627,607.4471582,,
17,LG,OLED,4k,0,30-39,7,1124,1099,0.2,4480.573627,673.3980523,,
18,LG,OLED,4k,1,40-49,7,1234,1149,0.2,4480.573627,682.0103506,,
19,LG,LCD,1080p,1,40-49,7,1346,1249,0.29,4480.573627,571.8449068,,
20,LG,LCD,4k,0,40-49,7,1183,1099,0.32,4480.573627,596.6158441,,
21,Sony,LCD,4k,0,50-59,7,1234,1249,0.28,1515.585342,616.9917427,,
22,Sony,LCD,4k,0,60+,7,1097,1399,0.21,1515.585342,718.6428554,,
23,Sony,OLED,4k,1,40-49,7,1330,1399,0.29,1515.585342,550.974441,,
24,Sony,QLED,1080p,1,50-59,7,1479,1099,0.07,1515.585342,588.9555851,,
25,Sony,OLED,4k,1,40-49,7,1087,949,0.16,1515.585342,587.8528745,,
26,Sony,QLED,4k,1,50-59,7,1261,999,0.22,1515.585342,521.5235975,,
27,Sony,LCD,4k,0,60+,7,1504,1249,0.26,1515.585342,496.0526315,,
28,Sony,QLED,4k,0,30-39,7,1225,1349,0.2,1515.585342,606.1439367,,
29,Sony,OLED,1080p,1,50-59,7,1271,1049,0.11,1515.585342,550.2911078,,
30,Sony,QLED,1080p,1,50-59,7,1318,1249,0.29,1515.585342,587.0394921,,
31,Philips,LCD,4k,1,50-59,7,1024,749,0.25,4417.190191,579.3147305,,
32,Philips,OLED,1080p,0,30-39,7,1393,1399,0.22,4417.190191,571.5726993,,
33,Philips,OLED,1080p,1,50-59,7,1308,1299,0.29,4417.190191,599.5538965,,
34,Philips,LCD,1080p,0,50-59,7,1266,999,0.15,4417.190191,550.9484248,,
35,Philips,OLED,1080p,1,40-49,7,1168,1099,0.21,4417.190191,587.2468802,,
36,Philips,QLED,4k,0,40-49,7,1307,849,0.11,4417.190191,537.5631001,,
37,Philips,LCD,1080p,0,40-49,7,1172,1199,0.26,4417.190191,638.1763762,,
38,Philips,OLED,1080p,0,50-59,7,1244,1049,0.16,4417.190191,608.3638604,,
39,Philips,LCD,1080p,1,60+,7,1075,849,0.21,4417.190191,590.6280428,,
40,Philips,LCD,4k,1,50-59,7,1543,1499,0.22,4417.190191,578.9807187,,
1,Samsung,OLED,1080p,0,50-59,8,1395,1199,0.26,2143.933265,580.817767,,
2,Samsung,OLED,4k,1,30-39,8,1270,1299,0.28,2143.933265,547.1585218,,
3,Samsung,OLED,4k,0,30-39,8,1275,1099,0.14,2143.933265,547.2880719,,
4,Samsung,QLED,1080p,1,60+,8,1384,1399,0.19,2143.933265,639.9844387,,
5,Samsung,OLED,4k,1,50-59,8,1269,799,0.13,2143.933265,550.7962392,,
6,Samsung,QLED,4k,0,40-49,8,1024,1049,0.17,2143.933265,701.0591638,,
7,Samsung,QLED,4k,1,40-49,8,1343,1049,0.21,2143.933265,510.1314452,,
8,Samsung,QLED,4k,1,40-49,8,1218,1149,0.24,2143.933265,625.580167,,
9,Samsung,OLED,1080p,0,60+,8,1661,1349,0.11,2143.933265,549.1602832,,
10,Samsung,LCD,1080p,0,40-49,8,1073,849,0.13,2143.933265,612.6702534,,
11,LG,QLED,4k,1,40-49,8,1021,899,0.19,4305.882936,638.081702,,
12,LG,QLED,1080p,0,40-49,8,1429,1349,0.16,4305.882936,687.3401042,,
13,LG,LCD,4k,0,50-59,8,1477,1499,0.27,4305.882936,650.1581061,,
14,LG,QLED,4k,0,60+,8,1491,1349,0.26,4305.882936,583.2828483,,
15,LG,OLED,1080p,1,60+,8,1394,999,0.11,4305.882936,546.4663907,,
16,LG,LCD,1080p,1,40-49,8,1387,1249,0.21,4305.882936,604.6044328,,
17,LG,OLED,4k,0,30-39,8,1070,899,0.12,4305.882936,659.2297449,,
18,LG,OLED,4k,1,40-49,8,1551,1449,0.25,4305.882936,666.5118804,,
19,LG,LCD,1080p,1,40-49,8,1176,899,0.2,4305.882936,576.1193519,,
20,LG,LCD,4k,0,40-49,8,1209,1249,0.3,4305.882936,635.5717476,,
21,Sony,LCD,4k,0,50-59,8,1166,599,0.09,3496.643017,582.437167,,
22,Sony,LCD,4k,0,60+,8,1281,1099,0.3,3496.643017,623.2893952,,
23,Sony,OLED,4k,1,40-49,8,1270,1199,0.1,3496.643017,645.9028437,,
24,Sony,QLED,1080p,1,50-59,8,1592,1299,0.23,3496.643017,602.3562241,,
25,Sony,OLED,4k,1,40-49,8,1306,1249,0.23,3496.643017,651.4281207,,
26,Sony,QLED,4k,1,50-59,8,1268,999,0.25,3496.643017,606.8427939,,
27,Sony,LCD,4k,0,60+,8,1521,1549,0.23,3496.643017,671.3446822,,
28,Sony,QLED,4k,0,30-39,8,969,799,0.19,3496.643017,604.985521,,
29,Sony,OLED,1080p,1,50-59,8,1515,1149,0.18,3496.643017,623.0154368,,
30,Sony,QLED,1080p,1,50-59,8,1442,1099,0.31,3496.643017,548.6513195,,
